,type,size,Algorithm,time_ms,copy_count,memory_kb
0,Sorted (Ascending),1000,Bubble Sort,0.6218032,0,2068
1,Sorted (Ascending),1000,Cocktail Shaker Sort,0.0011866,0,2088
2,Sorted (Ascending),1000,Comb Sort,0.0354048,0,3600
3,Sorted (Ascending),1000,Heap Sort,0.0508831,29124,3581
4,Sorted (Ascending),1000,Insertion Sort,0.0032765999999999997,1998,2148
5,Sorted (Ascending),1000,Intro Sort,0.1832515,76258,3799
6,Sorted (Ascending),1000,Library Sort,0.1361283,6999,3752
7,Sorted (Ascending),1000,Merge Sort,0.0473995,21950,3580
8,Sorted (Ascending),1000,Quick Sort,1.185988,1502496,3920
9,Sorted (Ascending),1000,Selection Sort,0.5576983,0,2092
10,Sorted (Ascending),1000,Tim Sort,0.0035697,1,3795
11,Sorted (Ascending),1000,Tournament Sort,0.042084899999999995,15047,3751
12,Sorted (Ascending),10000,Bubble Sort,67.13436,0,2068
13,Sorted (Ascending),10000,Cocktail Shaker Sort,0.011354699999999999,0,2088
14,Sorted (Ascending),10000,Comb Sort,0.7275994,0,3772
15,Sorted (Ascending),10000,Heap Sort,0.7942965,395868,3748
16,Sorted (Ascending),10000,Insertion Sort,0.0265438,19998,2148
17,Sorted (Ascending),10000,Intro Sort,2.784979,1113990,3980
18,Sorted (Ascending),10000,Library Sort,1.711067,69999,3752
19,Sorted (Ascending),10000,Merge Sort,0.5924127,287230,3580
20,Sorted (Ascending),10000,Quick Sort,127.93289999999999,150024996,4260
21,Sorted (Ascending),10000,Selection Sort,55.78998,0,2092
22,Sorted (Ascending),10000,Tim Sort,0.028281499999999998,1,3832
23,Sorted (Ascending),10000,Tournament Sort,0.8743945999999999,202767,4052
24,Sorted (Ascending),100000,Bubble Sort,8003.447999999999,0,4139
25,Sorted (Ascending),100000,Cocktail Shaker Sort,0.1129978,0,4091
26,Sorted (Ascending),100000,Comb Sort,7.589481999999999,0,4032
27,Sorted (Ascending),100000,Heap Sort,9.613467,4952562,4008
28,Sorted (Ascending),100000,Insertion Sort,0.2426565,199998,4124
29,Sorted (Ascending),100000,Intro Sort,34.65089,13949721,4240
30,Sorted (Ascending),100000,Library Sort,16.306549999999998,699999,4431
31,Sorted (Ascending),100000,Merge Sort,7.2329170000000005,3537854,4530
32,Sorted (Ascending),100000,Quick Sort,14587.13,15000249996,8968
33,Sorted (Ascending),100000,Selection Sort,7224.589999999999,0,4083
34,Sorted (Ascending),100000,Tim Sort,0.2621632,1,4092
35,Sorted (Ascending),100000,Tournament Sort,8.87043,2262143,5966
36,Sorted (Ascending),1000000,Bubble Sort,793633.3,0,7664
37,Sorted (Ascending),1000000,Cocktail Shaker Sort,1.143378,0,7620
38,Sorted (Ascending),1000000,Comb Sort,94.92949999999999,0,7660
39,Sorted (Ascending),1000000,Heap Sort,118.51109999999998,59363376,7636
40,Sorted (Ascending),1000000,Insertion Sort,2.632052,1999998,7648
41,Sorted (Ascending),1000000,Intro Sort,452.95619999999997,167361936,7868
42,Sorted (Ascending),1000000,Library Sort,177.0881,6999999,8004
43,Sorted (Ascending),1000000,Merge Sort,81.53244,41902846,11236
44,Sorted (Ascending),1000000,Quick Sort,1424919.0,1500002499996,54656
45,Sorted (Ascending),1000000,Selection Sort,713228.0,0,7608
46,Sorted (Ascending),1000000,Tim Sort,2.6272320000000002,1,7720
47,Sorted (Ascending),1000000,Tournament Sort,96.30249,25097151,22222
48,Sorted (Descending),1000,Bubble Sort,1.549964,1498500,2068
49,Sorted (Descending),1000,Cocktail Shaker Sort,2.053814,1498500,2088
50,Sorted (Descending),1000,Comb Sort,0.0483469,4746,3772
51,Sorted (Descending),1000,Heap Sort,0.0463281,24948,3748
52,Sorted (Descending),1000,Insertion Sort,0.8985144999999999,501498,2148
53,Sorted (Descending),1000,Intro Sort,0.1986342,48358,3980
54,Sorted (Descending),1000,Library Sort,0.2140117,6999,3752
55,Sorted (Descending),1000,Merge Sort,0.0627868,21950,4020
56,Sorted (Descending),1000,Quick Sort,0.9491454000000001,752496,3784
57,Sorted (Descending),1000,Selection Sort,0.6797077,1500,2092
58,Sorted (Descending),1000,Tim Sort,0.0061617,1501,3832
59,Sorted (Descending),1000,Tournament Sort,0.0380502,15047,3792
60,Sorted (Descending),10000,Bubble Sort,161.9443,149985000,2068
61,Sorted (Descending),10000,Cocktail Shaker Sort,205.2877,149985000,2088
62,Sorted (Descending),10000,Comb Sort,0.7475535,60234,3772
63,Sorted (Descending),10000,Heap Sort,0.8136108,350088,3748
64,Sorted (Descending),10000,Insertion Sort,93.37053,50014998,2148
65,Sorted (Descending),10000,Intro Sort,3.3948270000000003,709308,3980
66,Sorted (Descending),10000,Library Sort,3.576186,69999,3752
67,Sorted (Descending),10000,Merge Sort,0.5868732,287230,4020
68,Sorted (Descending),10000,Quick Sort,88.48868999999999,75024996,4260
69,Sorted (Descending),10000,Selection Sort,76.48795,15000,2092
70,Sorted (Descending),10000,Tim Sort,0.0507082,15001,3832
71,Sorted (Descending),10000,Tournament Sort,0.6882832999999999,202767,4052
72,Sorted (Descending),100000,Bubble Sort,18212.65,14999850000,4136
73,Sorted (Descending),100000,Cocktail Shaker Sort,23225.32,14999850000,4088
74,Sorted (Descending),100000,Comb Sort,9.188835000000001,732522,4032
75,Sorted (Descending),100000,Heap Sort,9.758802,4492302,4008
76,Sorted (Descending),100000,Insertion Sort,11198.41,5000149998,4160
77,Sorted (Descending),100000,Intro Sort,35.345479999999995,9004671,4240
