type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.614904,0,2068
1,1000,2,0.611249,0,2068
1,1000,3,0.625291,0,2068
1,1000,4,0.611635,0,2068
1,1000,5,0.611332,0,2068
1,1000,6,0.672468,0,2068
1,1000,7,0.611048,0,2068
1,1000,8,0.631454,0,2068
1,1000,9,0.614638,0,2068
1,1000,10,0.614013,0,2068
1,10000,1,66.311,0,2068
1,10000,2,71.5749,0,2068
1,10000,3,66.5874,0,2068
1,10000,4,64.462,0,2068
1,10000,5,69.6454,0,2068
1,10000,6,65.8522,0,2068
1,10000,7,64.251,0,2068
1,10000,8,67.8095,0,2068
1,10000,9,66.7679,0,2068
1,10000,10,68.0823,0,2068
1,100000,1,7283.91,0,4172
1,100000,2,7358.22,0,4136
1,100000,3,7399.49,0,4136
1,100000,4,10285.3,0,4136
1,100000,5,7379.35,0,4136
1,100000,6,7382.94,0,4136
1,100000,7,7776.97,0,4136
1,100000,8,10437.0,0,4136
1,100000,9,7377.61,0,4136
1,100000,10,7353.69,0,4136
1,1000000,1,798572.0,0,8028
1,1000000,2,790308.0,0,7624
1,1000000,3,798063.0,0,7624
1,1000000,4,794495.0,0,7624
1,1000000,5,792446.0,0,7624
1,1000000,6,794179.0,0,7624
1,1000000,7,793746.0,0,7624
1,1000000,8,791490.0,0,7624
1,1000000,9,793419.0,0,7624
1,1000000,10,789615.0,0,7624
2,1000,1,1.40178,1498500,2068
2,1000,2,1.35486,1498500,2068
2,1000,3,1.36962,1498500,2068
2,1000,4,1.38015,1498500,2068
2,1000,5,1.8772,1498500,2068
2,1000,6,2.33592,1498500,2068
2,1000,7,1.60426,1498500,2068
2,1000,8,1.41217,1498500,2068
2,1000,9,1.39446,1498500,2068
2,1000,10,1.36922,1498500,2068
2,10000,1,176.572,149985000,2068
2,10000,2,148.385,149985000,2068
2,10000,3,142.121,149985000,2068
2,10000,4,160.428,149985000,2068
2,10000,5,175.992,149985000,2068
2,10000,6,178.935,149985000,2068
2,10000,7,162.392,149985000,2068
2,10000,8,170.838,149985000,2068
2,10000,9,149.578,149985000,2068
2,10000,10,154.202,149985000,2068
2,100000,1,20131.6,14999850000,4136
2,100000,2,16376.4,14999850000,4136
2,100000,3,20066.7,14999850000,4136
2,100000,4,16377.4,14999850000,4136
2,100000,5,19838.3,14999850000,4136
2,100000,6,16360.6,14999850000,4136
2,100000,7,19667.0,14999850000,4136
2,100000,8,16422.7,14999850000,4136
2,100000,9,20051.6,14999850000,4136
2,100000,10,16834.2,14999850000,4136
2,1000000,1,1814500.0,1499998500000,7624
2,1000000,2,1812000.0,1499998500000,7624
2,1000000,3,1806470.0,1499998500000,7624
2,1000000,4,1809490.0,1499998500000,7624
2,1000000,5,1813800.0,1499998500000,7624
2,1000000,6,1819910.0,1499998500000,7624
2,1000000,7,1808500.0,1499998500000,7624
2,1000000,8,1819780.0,1499998500000,7624
2,1000000,9,1820000.0,1499998500000,7624
2,1000000,10,1825200.0,1499998500000,7624
3,1000,1,2.06982,735240,2068
3,1000,2,2.13908,767004,2068
3,1000,3,2.07731,730959,2068
3,1000,4,2.07987,740139,2068
3,1000,5,1.85125,722913,2068
3,1000,6,1.23758,776550,2068
3,1000,7,1.20674,730737,2068
3,1000,8,1.27256,759273,2068
3,1000,9,1.27407,756522,2068
3,1000,10,1.25084,753531,2068
3,10000,1,132.235,74476428,2068
3,10000,2,133.529,74946240,2068
3,10000,3,167.289,73963368,2068
3,10000,4,133.243,75380661,2068
3,10000,5,141.153,74006343,2068
3,10000,6,134.207,75409554,2068
3,10000,7,111.428,74777364,2068
3,10000,8,150.548,75689136,2068
3,10000,9,112.358,74996919,2068
3,10000,10,109.835,74729991,2068
3,100000,1,17488.4,7485968907,4136
3,100000,2,14469.4,7521876150,4136
3,100000,3,17187.3,7527168903,4136
3,100000,4,14477.9,7513288671,4136
3,100000,5,17207.3,7492023153,4136
3,100000,6,13985.9,7535178531,4136
3,100000,7,17433.0,7500289041,4136
3,100000,8,14640.0,7509785493,4136
3,100000,9,14275.1,7515442026,4136
3,100000,10,17340.3,7497634020,4136
3,1000000,1,2008800.0,750019115292,7624
3,1000000,2,1998900.0,748978183485,7624
3,1000000,3,1990470.0,749784775887,7624
3,1000000,4,1924970.0,750347476677,7624
3,1000000,5,1896700.0,749068507023,7624
3,1000000,6,1899400.0,749601582528,7624
3,1000000,7,1899470.0,750110709981,7624
3,1000000,8,1900320.0,749043307887,7624
3,1000000,9,1872580.0,749876620677,7624
3,1000000,10,1771320.0,749435432625,7624
4,1000,1,0.96562,588654,2068
