type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.001226,0,2088
1,1000,2,0.00119,0,2088
1,1000,3,0.001191,0,2088
1,1000,4,0.001181,0,2088
1,1000,5,0.001181,0,2088
1,1000,6,0.00119,0,2088
1,1000,7,0.001163,0,2088
1,1000,8,0.001199,0,2088
1,1000,9,0.001199,0,2088
1,1000,10,0.001146,0,2088
1,10000,1,0.011343,0,2088
1,10000,2,0.011343,0,2088
1,10000,3,0.011496,0,2088
1,10000,4,0.011334,0,2088
1,10000,5,0.011343,0,2088
1,10000,6,0.011316,0,2088
1,10000,7,0.011334,0,2088
1,10000,8,0.011352,0,2088
1,10000,9,0.011361,0,2088
1,10000,10,0.011325,0,2088
1,100000,1,0.112385,0,4120
1,100000,2,0.112484,0,4088
1,100000,3,0.112367,0,4088
1,100000,4,0.112484,0,4088
1,100000,5,0.112501,0,4088
1,100000,6,0.112357,0,4088
1,100000,7,0.112375,0,4088
1,100000,8,0.112421,0,4088
1,100000,9,0.114396,0,4088
1,100000,10,0.116208,0,4088
1,1000000,1,1.1244,0,7980
1,1000000,2,1.18001,0,7580
1,1000000,3,1.16163,0,7580
1,1000000,4,1.14606,0,7580
1,1000000,5,1.13118,0,7580
1,1000000,6,1.12459,0,7580
1,1000000,7,1.12424,0,7580
1,1000000,8,1.18168,0,7580
1,1000000,9,1.13516,0,7580
1,1000000,10,1.12483,0,7580
2,1000,1,1.87288,1498500,2088
2,1000,2,1.86968,1498500,2088
2,1000,3,1.89087,1498500,2088
2,1000,4,1.9556,1498500,2088
2,1000,5,1.97855,1498500,2088
2,1000,6,1.99584,1498500,2088
2,1000,7,1.9321,1498500,2088
2,1000,8,1.94497,1498500,2088
2,1000,9,1.92098,1498500,2088
2,1000,10,3.17667,1498500,2088
2,10000,1,208.958,149985000,2088
2,10000,2,213.901,149985000,2088
2,10000,3,224.92,149985000,2088
2,10000,4,203.261,149985000,2088
2,10000,5,199.909,149985000,2088
2,10000,6,200.293,149985000,2088
2,10000,7,198.877,149985000,2088
2,10000,8,201.024,149985000,2088
2,10000,9,199.046,149985000,2088
2,10000,10,202.688,149985000,2088
2,100000,1,20851.4,14999850000,4088
2,100000,2,24247.6,14999850000,4088
2,100000,3,24325.1,14999850000,4088
2,100000,4,20891.7,14999850000,4088
2,100000,5,24529.1,14999850000,4088
2,100000,6,25459.9,14999850000,4088
2,100000,7,21049.3,14999850000,4088
2,100000,8,25482.9,14999850000,4088
2,100000,9,24666.2,14999850000,4088
2,100000,10,20750.0,14999850000,4088
2,1000000,1,2327210.0,1499998500000,7580
2,1000000,2,2400070.0,1499998500000,7580
2,1000000,3,2326260.0,1499998500000,7580
2,1000000,4,2336690.0,1499998500000,7580
2,1000000,5,2285360.0,1499998500000,7580
2,1000000,6,2307160.0,1499998500000,7580
2,1000000,7,2333250.0,1499998500000,7580
2,1000000,8,2346180.0,1499998500000,7580
2,1000000,9,2340660.0,1499998500000,7580
2,1000000,10,2383270.0,1499998500000,7580
3,1000,1,2.06777,744783,2088
3,1000,2,2.02576,737310,2088
3,1000,3,2.04092,743382,2088
3,1000,4,1.2767,761721,2088
3,1000,5,1.22828,764040,2088
3,1000,6,1.2514,718761,2088
3,1000,7,1.19649,749106,2088
3,1000,8,1.18997,750513,2088
3,1000,9,1.24602,751584,2088
3,1000,10,1.22654,760266,2088
3,10000,1,130.68,74458347,2088
3,10000,2,128.203,75680166,2088
3,10000,3,117.884,75219564,2088
3,10000,4,122.912,75238617,2088
3,10000,5,126.217,74546109,2088
3,10000,6,142.121,75643431,2088
3,10000,7,123.26,74853177,2088
3,10000,8,120.212,74974935,2088
3,10000,9,128.523,75365247,2088
3,10000,10,124.746,74990565,2088
3,100000,1,16182.7,7495844553,4088
3,100000,2,16243.0,7504078815,4088
3,100000,3,16168.2,7471781280,4088
3,100000,4,16149.3,7498875237,4088
3,100000,5,16244.7,7494887553,4088
3,100000,6,16134.7,7474125255,4088
3,100000,7,16325.0,7508143899,4088
3,100000,8,16345.7,7503800715,4088
3,100000,9,16328.6,7489391199,4088
3,100000,10,16276.1,7506522249,4088
3,1000000,1,1681590.0,750758304213,7580
3,1000000,2,1686180.0,750457425237,7580
3,1000000,3,1699830.0,751034519385,7580
3,1000000,4,1679150.0,749773648983,7580
3,1000000,5,1683920.0,750233791422,7580
3,1000000,6,1614070.0,750463845558,7580
3,1000000,7,1551440.0,750017558553,7580
3,1000000,8,1492490.0,750111186498,7580
3,1000000,9,1491520.0,750360286548,7580
3,1000000,10,1492510.0,749966258229,7580
4,1000,1,0.989299,588654,2088
4,1000,2,0.996067,588654,2088
4,1000,3,0.980146,588654,2088
4,1000,4,1.02775,588654,2088
4,1000,5,0.987981,588654,2088
4,1000,6,0.977527,588654,2088
4,1000,7,0.990445,588654,2088
4,1000,8,0.980973,588654,2088
4,1000,9,0.984515,588654,2088
4,1000,10,0.980848,588654,2088
4,10000,1,93.07,56634492,2088
4,10000,2,93.7254,56634492,2088
4,10000,3,93.3457,56634492,2088
4,10000,4,96.2754,56634492,2088
4,10000,5,94.4479,56634492,2088
4,10000,6,92.7645,56634492,2088
4,10000,7,93.354,56634492,2088
4,10000,8,93.5174,56634492,2088
4,10000,9,93.9369,56634492,2088
4,10000,10,93.8265,56634492,2088
4,100000,1,9700.19,5646017934,4088
4,100000,2,10605.9,5646017934,4088
4,100000,3,9589.05,5646017934,4088
4,100000,4,9605.31,5646017934,4088
4,100000,5,10619.0,5646017934,4088
4,100000,6,9562.03,5646017934,4088
4,100000,7,9666.26,5646017934,4088
4,100000,8,10498.3,5646017934,4088
4,100000,9,9657.12,5646017934,4088
4,100000,10,9518.17,5646017934,4088
4,1000000,1,1162440.0,561406329396,7580
4,1000000,2,1161930.0,561406329396,7580
4,1000000,3,1161610.0,561406329396,7580
4,1000000,4,1162640.0,561406329396,7580
4,1000000,5,1162190.0,561406329396,7580
4,1000000,6,1162890.0,561406329396,7580
4,1000000,7,1161400.0,561406329396,7580
4,1000000,8,1162230.0,561406329396,7580
4,1000000,9,1160710.0,561406329396,7580
4,1000000,10,1162790.0,561406329396,7580
5,1000,1,0.033215,15831,2088
5,1000,2,0.032965,15831,2088
5,1000,3,0.032869,15831,2088
5,1000,4,0.033176,15831,2088
5,1000,5,0.042048,15831,2088
5,1000,6,0.032898,15831,2088
5,1000,7,0.032975,15831,2088
5,1000,8,0.03287,15831,2088
5,1000,9,0.032889,15831,2088
5,1000,10,0.03286,15831,2088
5,10000,1,3.16181,1628082,2088
5,10000,2,3.12498,1628082,2088
5,10000,3,3.20816,1628082,2088
5,10000,4,3.19913,1628082,2088
5,10000,5,3.50094,1628082,2088
5,10000,6,3.07481,1628082,2088
5,10000,7,3.13254,1628082,2088
5,10000,8,3.15178,1628082,2088
5,10000,9,3.18224,1628082,2088
5,10000,10,3.19967,1628082,2088
5,100000,1,315.275,149216202,4088
5,100000,2,320.924,149216202,4088
5,100000,3,315.594,149216202,4088
5,100000,4,315.414,149216202,4088
5,100000,5,319.087,149216202,4088
5,100000,6,315.559,149216202,4088
5,100000,7,315.503,149216202,4088
5,100000,8,319.099,149216202,4088
5,100000,9,315.058,149216202,4088
5,100000,10,315.899,149216202,4088
5,1000000,1,33171.8,14897644680,7580
5,1000000,2,33236.9,14897644680,7580
5,1000000,3,33139.9,14897644680,7580
5,1000000,4,33103.5,14897644680,7580
5,1000000,5,32942.8,14897644680,7580
5,1000000,6,32896.1,14897644680,7580
5,1000000,7,32952.9,14897644680,7580
5,1000000,8,32836.1,14897644680,7580
5,1000000,9,32837.0,14897644680,7580
5,1000000,10,32816.7,14897644680,7580
6,1000,1,0.958938,748500,2088
6,1000,2,0.946023,748500,2088
6,1000,3,0.981156,748500,2088
6,1000,4,0.954503,748500,2088
6,1000,5,0.945476,748500,2088
6,1000,6,0.954817,748500,2088
6,1000,7,0.9755,748500,2088
6,1000,8,0.962039,748500,2088
6,1000,9,0.945597,748500,2088
6,1000,10,0.978018,748500,2088
6,10000,1,98.5485,74985000,2088
6,10000,2,96.3617,74985000,2088
6,10000,3,98.9204,74985000,2088
6,10000,4,95.6775,74985000,2088
6,10000,5,95.9401,74985000,2088
6,10000,6,95.6082,74985000,2088
6,10000,7,96.3414,74985000,2088
6,10000,8,95.7699,74985000,2088
6,10000,9,96.7323,74985000,2088
6,10000,10,96.7352,74985000,2088
6,100000,1,9892.29,7499850000,4088
6,100000,2,9980.66,7499850000,4088
6,100000,3,11596.9,7499850000,4088
6,100000,4,9865.12,7499850000,4088
6,100000,5,9972.65,7499850000,4088
6,100000,6,11604.7,7499850000,4088
6,100000,7,9936.24,7499850000,4088
6,100000,8,9946.6,7499850000,4088
6,100000,9,11650.1,7499850000,4088
6,100000,10,9967.51,7499850000,4088
6,1000000,1,1048570.0,749998500000,7580
6,1000000,2,1048720.0,749998500000,7580
6,1000000,3,1047460.0,749998500000,7580
6,1000000,4,1047850.0,749998500000,7580
6,1000000,5,1049090.0,749998500000,7580
6,1000000,6,1048200.0,749998500000,7580
6,1000000,7,1047770.0,749998500000,7580
6,1000000,8,1047800.0,749998500000,7580
6,1000000,9,1047950.0,749998500000,7580
6,1000000,10,1048610.0,749998500000,7580
