type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.0354,0,2056
1,1000,2,0.0354,0,3772
1,1000,3,0.035474,0,3772
1,1000,4,0.035391,0,3772
1,1000,5,0.035446,0,3772
1,1000,6,0.0354,0,3772
1,1000,7,0.035428,0,3772
1,1000,8,0.035354,0,3772
1,1000,9,0.035354,0,3772
1,1000,10,0.035401,0,3772
1,10000,1,0.62986,0,3772
1,10000,2,0.7142,0,3772
1,10000,3,0.729543,0,3772
1,10000,4,0.978861,0,3772
1,10000,5,0.651848,0,3772
1,10000,6,0.598393,0,3772
1,10000,7,0.571019,0,3772
1,10000,8,0.773023,0,3772
1,10000,9,0.854036,0,3772
1,10000,10,0.775211,0,3772
1,100000,1,8.22091,0,4032
1,100000,2,7.24493,0,4032
1,100000,3,7.34429,0,4032
1,100000,4,7.20603,0,4032
1,100000,5,7.3035,0,4032
1,100000,6,7.4498,0,4032
1,100000,7,7.75199,0,4032
1,100000,8,7.87746,0,4032
1,100000,9,7.9751,0,4032
1,100000,10,7.52081,0,4032
1,1000000,1,95.5119,0,7660
1,1000000,2,98.189,0,7660
1,1000000,3,94.947,0,7660
1,1000000,4,90.7714,0,7660
1,1000000,5,93.6513,0,7660
1,1000000,6,93.8526,0,7660
1,1000000,7,97.1429,0,7660
1,1000000,8,96.0887,0,7660
1,1000000,9,91.064,0,7660
1,1000000,10,98.0762,0,7660
2,1000,1,0.048923,4746,3772
2,1000,2,0.095721,4746,3772
2,1000,3,0.043131,4746,3772
2,1000,4,0.042469,4746,3772
2,1000,5,0.042386,4746,3772
2,1000,6,0.042286,4746,3772
2,1000,7,0.042184,4746,3772
2,1000,8,0.042074,4746,3772
2,1000,9,0.042175,4746,3772
2,1000,10,0.04212,4746,3772
2,10000,1,0.660838,60234,3772
2,10000,2,0.636239,60234,3772
2,10000,3,0.649734,60234,3772
2,10000,4,0.680464,60234,3772
2,10000,5,0.634842,60234,3772
2,10000,6,0.675426,60234,3772
2,10000,7,0.623921,60234,3772
2,10000,8,0.658209,60234,3772
2,10000,9,0.632562,60234,3772
2,10000,10,1.6233,60234,3772
2,100000,1,9.94778,732522,4032
2,100000,2,10.0412,732522,4032
2,100000,3,8.88321,732522,4032
2,100000,4,9.13097,732522,4032
2,100000,5,8.66931,732522,4032
2,100000,6,8.92965,732522,4032
2,100000,7,8.54966,732522,4032
2,100000,8,10.0704,732522,4032
2,100000,9,8.4419,732522,4032
2,100000,10,9.22427,732522,4032
2,1000000,1,108.459,8618478,7660
2,1000000,2,109.19,8618478,7660
2,1000000,3,115.394,8618478,7660
2,1000000,4,114.483,8618478,7660
2,1000000,5,106.645,8618478,7660
2,1000000,6,111.155,8618478,7660
2,1000000,7,120.513,8618478,7660
2,1000000,8,103.922,8618478,7660
2,1000000,9,107.089,8618478,7660
2,1000000,10,110.727,8618478,7660
3,1000,1,0.11417,12747,3772
3,1000,2,0.107645,12615,3772
3,1000,3,0.120573,12699,3772
3,1000,4,0.231884,12792,3772
3,1000,5,0.154818,12369,3772
3,1000,6,0.157342,12363,3772
3,1000,7,0.107506,12336,3772
3,1000,8,0.102698,12612,3772
3,1000,9,0.098133,12720,3772
3,1000,10,0.143867,12720,3772
3,10000,1,1.45938,182022,3772
3,10000,2,1.4786,183759,3772
3,10000,3,1.55276,179775,3772
3,10000,4,1.38602,180372,3772
3,10000,5,2.02886,181233,3772
3,10000,6,1.44803,179211,3772
3,10000,7,1.54073,180990,3772
3,10000,8,1.52916,181548,3772
3,10000,9,1.57931,182019,3772
3,10000,10,1.56321,180612,3772
