type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.058447,29124,2080
1,1000,2,0.063228,29124,3748
1,1000,3,0.051866,29124,3748
1,1000,4,0.049366,29124,3748
1,1000,5,0.048094,29124,3748
1,1000,6,0.051511,29124,3748
1,1000,7,0.047493,29124,3748
1,1000,8,0.045803,29124,3748
1,1000,9,0.04752,29124,3748
1,1000,10,0.045503,29124,3748
1,10000,1,0.81584,395868,3748
1,10000,2,0.803024,395868,3748
1,10000,3,0.796598,395868,3748
1,10000,4,0.827958,395868,3748
1,10000,5,0.775801,395868,3748
1,10000,6,0.791389,395868,3748
1,10000,7,0.769966,395868,3748
1,10000,8,0.787409,395868,3748
1,10000,9,0.788362,395868,3748
1,10000,10,0.786618,395868,3748
1,100000,1,9.72476,4952562,4008
1,100000,2,9.66959,4952562,4008
1,100000,3,9.42085,4952562,4008
1,100000,4,9.53252,4952562,4008
1,100000,5,9.45591,4952562,4008
1,100000,6,9.79862,4952562,4008
1,100000,7,10.0315,4952562,4008
1,100000,8,9.39969,4952562,4008
1,100000,9,9.58862,4952562,4008
1,100000,10,9.51261,4952562,4008
1,1000000,1,120.653,59363376,7636
1,1000000,2,123.814,59363376,7636
1,1000000,3,114.74,59363376,7636
1,1000000,4,118.188,59363376,7636
1,1000000,5,113.725,59363376,7636
1,1000000,6,119.699,59363376,7636
1,1000000,7,115.9,59363376,7636
1,1000000,8,119.788,59363376,7636
1,1000000,9,118.066,59363376,7636
1,1000000,10,120.538,59363376,7636
2,1000,1,0.068656,24948,3748
2,1000,2,0.053782,24948,3748
2,1000,3,0.045847,24948,3748
2,1000,4,0.042203,24948,3748
2,1000,5,0.04201,24948,3748
2,1000,6,0.045415,24948,3748
2,1000,7,0.04189,24948,3748
2,1000,8,0.042608,24948,3748
2,1000,9,0.040739,24948,3748
2,1000,10,0.040131,24948,3748
2,10000,1,0.740835,350088,3748
2,10000,2,0.775803,350088,3748
2,10000,3,0.73743,350088,3748
2,10000,4,0.74772,350088,3748
2,10000,5,0.735588,350088,3748
2,10000,6,0.799247,350088,3748
2,10000,7,1.15135,350088,3748
2,10000,8,0.895176,350088,3748
2,10000,9,0.783093,350088,3748
2,10000,10,0.769866,350088,3748
2,100000,1,9.57595,4492302,4008
2,100000,2,9.92219,4492302,4008
2,100000,3,9.78485,4492302,4008
2,100000,4,9.53269,4492302,4008
2,100000,5,9.65017,4492302,4008
2,100000,6,10.0714,4492302,4008
2,100000,7,9.67041,4492302,4008
2,100000,8,9.43292,4492302,4008
2,100000,9,9.9914,4492302,4008
2,100000,10,9.95604,4492302,4008
2,1000000,1,118.969,55000224,7636
2,1000000,2,117.358,55000224,7636
2,1000000,3,116.647,55000224,7636
2,1000000,4,119.089,55000224,7636
2,1000000,5,124.259,55000224,7636
2,1000000,6,116.43,55000224,7636
2,1000000,7,113.091,55000224,7636
2,1000000,8,2984.85,55000224,7636
2,1000000,9,110.912,55000224,7636
2,1000000,10,112.135,55000224,7636
3,1000,1,0.070847,27300,3748
3,1000,2,0.070166,27168,3748
3,1000,3,0.07011,27351,3748
3,1000,4,0.070304,27351,3748
3,1000,5,0.070727,27336,3748
3,1000,6,0.069955,27204,3748
3,1000,7,0.069982,27105,3748
3,1000,8,0.070055,27234,3748
3,1000,9,0.069862,27351,3748
3,1000,10,0.070635,27468,3748
3,10000,1,1.0065,372486,3748
3,10000,2,1.02849,372207,3748
3,10000,3,0.950523,372756,3748
3,10000,4,0.976517,372684,3748
3,10000,5,0.939864,372873,3748
3,10000,6,0.954141,372681,3748
3,10000,7,1.0488,372660,3748
3,10000,8,0.980079,372576,3748
3,10000,9,1.04311,372654,3748
3,10000,10,1.02026,372783,3748
3,100000,1,13.3667,4725330,4008
3,100000,2,12.5887,4724862,4008
3,100000,3,13.5671,4723935,4008
3,100000,4,13.3108,4725534,4008
3,100000,5,12.2055,4725273,4008
3,100000,6,12.2249,4725201,4008
3,100000,7,12.4019,4724031,4008
3,100000,8,12.4562,4724592,4008
3,100000,9,12.6139,4725018,4008
3,100000,10,12.1116,4724664,4008
3,1000000,1,201.602,57143922,7636
3,1000000,2,207.76,57149292,7636
3,1000000,3,184.054,57147705,7636
3,1000000,4,190.404,57142545,7636
3,1000000,5,202.052,57145776,7636
3,1000000,6,198.999,57146559,7636
3,1000000,7,192.841,57147183,7636
3,1000000,8,191.281,57145074,7636
3,1000000,9,204.493,57141384,7636
3,1000000,10,207.925,57144042,7636
4,1000,1,0.074003,27978,3748
4,1000,2,0.064404,27978,3748
4,1000,3,0.05303,27978,3748
4,1000,4,0.049422,27978,3748
4,1000,5,0.04835,27978,3748
4,1000,6,0.048539,27978,3748
4,1000,7,0.048073,27978,3748
4,1000,8,0.048013,27978,3748
4,1000,9,0.048013,27978,3748
4,1000,10,0.047983,27978,3748
4,10000,1,0.968413,381696,3748
4,10000,2,0.992926,381696,3748
4,10000,3,0.988593,381696,3748
4,10000,4,0.979748,381696,3748
4,10000,5,0.979649,381696,3748
4,10000,6,0.970615,381696,3748
4,10000,7,0.977556,381696,3748
4,10000,8,1.02201,381696,3748
4,10000,9,0.984893,381696,3748
4,10000,10,0.996773,381696,3748
4,100000,1,12.8839,4827138,4008
4,100000,2,13.1415,4827138,4008
4,100000,3,13.9486,4827138,4008
4,100000,4,12.9027,4827138,4008
4,100000,5,12.2805,4827138,4008
4,100000,6,13.4595,4827138,4008
4,100000,7,12.7491,4827138,4008
4,100000,8,12.6572,4827138,4008
4,100000,9,12.6997,4827138,4008
4,100000,10,12.3012,4827138,4008
4,1000000,1,179.226,56668872,7636
4,1000000,2,179.183,56668872,7636
4,1000000,3,179.842,56668872,7636
4,1000000,4,169.281,56668872,7636
4,1000000,5,178.691,56668872,7636
4,1000000,6,184.792,56668872,7636
4,1000000,7,175.514,56668872,7636
4,1000000,8,171.988,56668872,7636
4,1000000,9,171.226,56668872,7636
4,1000000,10,172.772,56668872,7636
5,1000,1,0.070215,29151,3748
5,1000,2,0.061965,29151,3748
5,1000,3,0.055619,29151,3748
5,1000,4,0.056124,29151,3748
5,1000,5,0.069035,29151,3748
5,1000,6,0.060517,29151,3748
5,1000,7,0.054498,29151,3748
5,1000,8,0.059734,29151,3748
5,1000,9,0.05429,29151,3748
5,1000,10,0.051236,29151,3748
5,10000,1,0.841162,396492,3748
5,10000,2,0.856571,396492,3748
5,10000,3,0.863056,396492,3748
5,10000,4,0.875034,396492,3748
5,10000,5,0.855629,396492,3748
5,10000,6,0.869352,396492,3748
5,10000,7,0.86019,396492,3748
5,10000,8,0.857245,396492,3748
5,10000,9,0.940351,396492,3748
5,10000,10,0.84839,396492,3748
5,100000,1,10.7269,4967538,4008
5,100000,2,10.9042,4967538,4008
5,100000,3,11.3528,4967538,4008
5,100000,4,10.9058,4967538,4008
5,100000,5,10.6304,4967538,4008
5,100000,6,10.529,4967538,4008
5,100000,7,10.411,4967538,4008
5,100000,8,11.5869,4967538,4008
5,100000,9,10.678,4967538,4008
5,100000,10,10.5319,4967538,4008
5,1000000,1,126.233,59472264,7636
5,1000000,2,128.328,59472264,7636
5,1000000,3,122.203,59472264,7636
5,1000000,4,118.726,59472264,7636
5,1000000,5,125.06,59472264,7636
5,1000000,6,118.897,59472264,7636
5,1000000,7,121.425,59472264,7636
5,1000000,8,122.44,59472264,7636
5,1000000,9,115.791,59472264,7636
5,1000000,10,119.367,59472264,7636
6,1000,1,0.077471,27528,3748
6,1000,2,0.071572,27528,3748
6,1000,3,0.061792,27528,3748
6,1000,4,0.058255,27528,3748
6,1000,5,0.070326,27528,3748
6,1000,6,0.060291,27528,3748
6,1000,7,0.066782,27528,3748
6,1000,8,0.065828,27528,3748
6,1000,9,0.046784,27528,3748
6,1000,10,0.044176,27528,3748
6,10000,1,0.803524,375741,3748
6,10000,2,0.789918,375741,3748
6,10000,3,0.800552,375741,3748
6,10000,4,0.798871,375741,3748
6,10000,5,0.793744,375741,3748
6,10000,6,0.788299,375741,3748
6,10000,7,0.853835,375741,3748
6,10000,8,0.80047,375741,3748
6,10000,9,0.814959,375741,3748
6,10000,10,0.792244,375741,3748
6,100000,1,9.51041,4763064,4008
6,100000,2,9.54185,4763064,4008
6,100000,3,9.89079,4763064,4008
6,100000,4,12.1927,4763064,4008
6,100000,5,9.51088,4763064,4008
6,100000,6,9.66227,4763064,4008
6,100000,7,9.7453,4763064,4008
6,100000,8,9.67014,4763064,4008
6,100000,9,9.67503,4763064,4008
6,100000,10,9.77876,4763064,4008
6,1000000,1,120.559,57493185,7636
6,1000000,2,117.15,57493185,7636
6,1000000,3,118.483,57493185,7636
6,1000000,4,124.657,57493185,7636
6,1000000,5,115.675,57493185,7636
6,1000000,6,115.555,57493185,7636
6,1000000,7,117.343,57493185,7636
6,1000000,8,115.251,57493185,7636
6,1000000,9,117.955,57493185,7636
6,1000000,10,123.271,57493185,7636
