type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.00338,1998,2148
1,1000,2,0.003067,1998,2148
1,1000,3,0.003067,1998,2148
1,1000,4,0.003067,1998,2148
1,1000,5,0.003076,1998,2148
1,1000,6,0.003316,1998,2148
1,1000,7,0.003875,1998,2148
1,1000,8,0.003067,1998,2148
1,1000,9,0.003536,1998,2148
1,1000,10,0.003315,1998,2148
1,10000,1,0.028984,19998,2148
1,10000,2,0.029452,19998,2148
1,10000,3,0.024024,19998,2148
1,10000,4,0.024062,19998,2148
1,10000,5,0.024024,19998,2148
1,10000,6,0.027809,19998,2148
1,10000,7,0.024007,19998,2148
1,10000,8,0.034109,19998,2148
1,10000,9,0.024015,19998,2148
1,10000,10,0.024952,19998,2148
1,100000,1,0.241724,199998,4160
1,100000,2,0.239603,199998,4120
1,100000,3,0.239575,199998,4120
1,100000,4,0.250908,199998,4120
1,100000,5,0.239566,199998,4120
1,100000,6,0.239713,199998,4120
1,100000,7,0.246426,199998,4120
1,100000,8,0.239558,199998,4120
1,100000,9,0.24988,199998,4120
1,100000,10,0.239612,199998,4120
1,1000000,1,3.07246,1999998,8012
1,1000000,2,2.91412,1999998,7608
1,1000000,3,2.42653,1999998,7608
1,1000000,4,2.46474,1999998,7608
1,1000000,5,2.44615,1999998,7608
1,1000000,6,2.46581,1999998,7608
1,1000000,7,3.08097,1999998,7608
1,1000000,8,2.50606,1999998,7608
1,1000000,9,2.50573,1999998,7608
1,1000000,10,2.43795,1999998,7608
2,1000,1,0.872792,501498,2148
2,1000,2,0.950711,501498,2148
2,1000,3,1.02552,501498,2148
2,1000,4,0.885751,501498,2148
2,1000,5,0.867199,501498,2148
2,1000,6,0.908122,501498,2148
2,1000,7,0.866914,501498,2148
2,1000,8,0.869981,501498,2148
2,1000,9,0.862663,501498,2148
2,1000,10,0.875492,501498,2148
2,10000,1,87.2507,50014998,2148
2,10000,2,87.969,50014998,2148
2,10000,3,104.924,50014998,2148
2,10000,4,89.3822,50014998,2148
2,10000,5,89.8405,50014998,2148
2,10000,6,86.4357,50014998,2148
2,10000,7,117.021,50014998,2148
2,10000,8,89.0728,50014998,2148
2,10000,9,88.7253,50014998,2148
2,10000,10,93.0841,50014998,2148
2,100000,1,9898.7,5000149998,4160
2,100000,2,10166.6,5000149998,4160
2,100000,3,12969.5,5000149998,4160
2,100000,4,10420.8,5000149998,4160
2,100000,5,10590.3,5000149998,4160
2,100000,6,13418.1,5000149998,4160
2,100000,7,10557.4,5000149998,4160
2,100000,8,10248.9,5000149998,4160
2,100000,9,13183.6,5000149998,4160
2,100000,10,10530.2,5000149998,4160
2,1000000,1,1113850.0,500001499998,7608
2,1000000,2,1109850.0,500001499998,7608
2,1000000,3,1114060.0,500001499998,7608
2,1000000,4,1111800.0,500001499998,7608
2,1000000,5,1108720.0,500001499998,7608
2,1000000,6,1104170.0,500001499998,7608
2,1000000,7,1109140.0,500001499998,7608
2,1000000,8,1104130.0,500001499998,7608
2,1000000,9,1111020.0,500001499998,7608
