type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.185952,76258,2176
1,1000,2,0.177127,76258,3980
1,1000,3,0.182114,76258,3980
1,1000,4,0.179156,76258,3980
1,1000,5,0.16292,76258,3980
1,1000,6,0.197221,76258,3980
1,1000,7,0.206129,76258,3980
1,1000,8,0.183712,76258,3980
1,1000,9,0.183041,76258,3980
1,1000,10,0.175143,76258,3980
1,10000,1,2.64078,1113990,3980
1,10000,2,2.82132,1113990,3980
1,10000,3,2.60038,1113990,3980
1,10000,4,2.81988,1113990,3980
1,10000,5,3.02267,1113990,3980
1,10000,6,3.68914,1113990,3980
1,10000,7,2.61133,1113990,3980
1,10000,8,2.57413,1113990,3980
1,10000,9,2.54931,1113990,3980
1,10000,10,2.52085,1113990,3980
1,100000,1,37.8064,13949721,4240
1,100000,2,33.8495,13949721,4240
1,100000,3,33.8055,13949721,4240
1,100000,4,36.9264,13949721,4240
1,100000,5,33.9308,13949721,4240
1,100000,6,32.7276,13949721,4240
1,100000,7,33.3763,13949721,4240
1,100000,8,32.5623,13949721,4240
1,100000,9,33.5357,13949721,4240
1,100000,10,37.9884,13949721,4240
1,1000000,1,389.045,167361936,7868
1,1000000,2,399.445,167361936,7868
1,1000000,3,411.074,167361936,7868
1,1000000,4,439.154,167361936,7868
1,1000000,5,480.486,167361936,7868
1,1000000,6,474.402,167361936,7868
1,1000000,7,479.936,167361936,7868
1,1000000,8,472.394,167361936,7868
1,1000000,9,502.619,167361936,7868
1,1000000,10,481.007,167361936,7868
2,1000,1,0.251986,48358,3980
2,1000,2,0.230235,48358,3980
2,1000,3,0.192422,48358,3980
2,1000,4,0.183934,48358,3980
2,1000,5,0.204469,48358,3980
2,1000,6,0.17676,48358,3980
2,1000,7,0.189567,48358,3980
2,1000,8,0.188297,48358,3980
2,1000,9,0.187103,48358,3980
2,1000,10,0.181569,48358,3980
2,10000,1,3.26474,709308,3980
2,10000,2,3.42223,709308,3980
2,10000,3,3.00645,709308,3980
2,10000,4,4.07002,709308,3980
2,10000,5,3.41453,709308,3980
2,10000,6,3.40804,709308,3980
2,10000,7,3.33799,709308,3980
2,10000,8,4.36113,709308,3980
2,10000,9,2.66543,709308,3980
2,10000,10,2.99771,709308,3980
2,100000,1,36.9791,9004671,4240
2,100000,2,37.6179,9004671,4240
2,100000,3,36.5784,9004671,4240
2,100000,4,34.2149,9004671,4240
2,100000,5,34.8307,9004671,4240
2,100000,6,37.6202,9004671,4240
2,100000,7,34.5119,9004671,4240
2,100000,8,32.2993,9004671,4240
2,100000,9,35.3799,9004671,4240
2,100000,10,33.4225,9004671,4240
2,1000000,1,424.578,108895194,7868
2,1000000,2,444.902,108895194,7868
2,1000000,3,423.564,108895194,7868
2,1000000,4,424.053,108895194,7868
2,1000000,5,459.376,108895194,7868
2,1000000,6,429.514,108895194,7868
2,1000000,7,424.055,108895194,7868
2,1000000,8,410.651,108895194,7868
2,1000000,9,425.941,108895194,7868
2,1000000,10,438.149,108895194,7868
3,1000,1,0.102034,15556,3980
3,1000,2,0.110163,22140,3980
3,1000,3,0.100243,16013,3980
3,1000,4,0.105323,18476,3980
3,1000,5,0.098865,15628,3980
3,1000,6,0.092797,15380,3980
3,1000,7,0.096596,15659,3980
3,1000,8,0.100688,15863,3980
3,1000,9,0.123838,17697,3980
3,1000,10,0.095631,17434,3980
3,10000,1,1.13822,272732,3980
3,10000,2,1.06913,235671,3980
3,10000,3,1.17321,247651,3980
3,10000,4,1.13784,230979,3980
3,10000,5,1.2766,227382,3980
3,10000,6,1.11912,232402,3980
3,10000,7,1.08442,233826,3980
3,10000,8,1.12191,223775,3980
3,10000,9,1.27754,249068,3980
3,10000,10,1.13065,228522,3980
3,100000,1,15.5049,3168633,4240
3,100000,2,16.4128,3318884,4240
3,100000,3,15.0832,3068229,4240
3,100000,4,15.4487,3175724,4240
3,100000,5,14.8409,3015382,4240
3,100000,6,17.3133,2981242,4240
3,100000,7,15.2923,3019618,4240
3,100000,8,17.1049,3196660,4240
3,100000,9,15.348,3132882,4240
3,100000,10,15.8676,3764329,4240
3,1000000,1,174.316,35955033,7868
3,1000000,2,199.251,37162847,7868
3,1000000,3,190.62,38715792,7868
3,1000000,4,174.572,37837317,7868
3,1000000,5,188.207,38059848,7868
3,1000000,6,174.834,37293518,7868
3,1000000,7,176.467,35045904,7868
3,1000000,8,176.592,38136131,7868
3,1000000,9,190.86,42537218,7868
3,1000000,10,187.14,43404140,7868
4,1000,1,0.093948,24044,3980
4,1000,2,0.087164,24044,3980
4,1000,3,0.073316,24044,3980
4,1000,4,0.069158,24044,3980
4,1000,5,0.066163,24044,3980
4,1000,6,0.068334,24044,3980
4,1000,7,0.0576,24044,3980
4,1000,8,0.05583,24044,3980
4,1000,9,0.052282,24044,3980
4,1000,10,0.052368,24044,3980
4,10000,1,1.25671,228588,3980
4,10000,2,1.46954,228588,3980
4,10000,3,0.998621,228588,3980
4,10000,4,1.08389,228588,3980
4,10000,5,1.08093,228588,3980
4,10000,6,1.3535,228588,3980
4,10000,7,1.24375,228588,3980
4,10000,8,1.1139,228588,3980
4,10000,9,1.17689,228588,3980
4,10000,10,1.08253,228588,3980
4,100000,1,15.4276,3922325,4240
4,100000,2,14.7952,3922325,4240
4,100000,3,15.6476,3922325,4240
4,100000,4,16.2169,3922325,4240
4,100000,5,14.664,3922325,4240
4,100000,6,14.2621,3922325,4240
4,100000,7,17.7971,3922325,4240
4,100000,8,14.8751,3922325,4240
4,100000,9,13.7555,3922325,4240
4,100000,10,16.2363,3922325,4240
4,1000000,1,172.335,40907003,7868
4,1000000,2,184.162,40907003,7868
4,1000000,3,176.542,40907003,7868
4,1000000,4,168.673,40907003,7868
4,1000000,5,173.434,40907003,7868
4,1000000,6,4453.25,40907003,7868
4,1000000,7,173.75,40907003,7868
4,1000000,8,167.786,40907003,7868
4,1000000,9,173.807,40907003,7868
4,1000000,10,181.702,40907003,7868
5,1000,1,0.142441,25695,3980
5,1000,2,0.109088,25695,3980
5,1000,3,0.155617,25695,3980
5,1000,4,0.10174,25695,3980
5,1000,5,0.098843,25695,3980
5,1000,6,0.098322,25695,3980
5,1000,7,0.097487,25695,3980
5,1000,8,0.115948,25695,3980
5,1000,9,0.108111,25695,3980
5,1000,10,0.112084,25695,3980
5,10000,1,2.88507,376005,3980
5,10000,2,2.48766,376005,3980
5,10000,3,2.37193,376005,3980
5,10000,4,2.32972,376005,3980
5,10000,5,2.77518,376005,3980
5,10000,6,2.22491,376005,3980
5,10000,7,2.57398,376005,3980
5,10000,8,2.56062,376005,3980
5,10000,9,3.07533,376005,3980
5,10000,10,2.24284,376005,3980
5,100000,1,25.1071,7033533,4240
5,100000,2,27.7562,7033533,4240
5,100000,3,25.7665,7033533,4240
5,100000,4,25.2821,7033533,4240
5,100000,5,29.5713,7033533,4240
5,100000,6,26.2101,7033533,4240
