type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.12918,6999,3752
1,1000,2,0.126776,6999,3752
1,1000,3,0.127958,6999,3752
1,1000,4,0.12617,6999,3752
1,1000,5,0.125027,6999,3752
1,1000,6,0.125226,6999,3752
1,1000,7,0.143273,6999,3752
1,1000,8,0.151541,6999,3752
1,1000,9,0.152097,6999,3752
1,1000,10,0.154035,6999,3752
1,10000,1,1.58494,69999,3752
1,10000,2,1.36051,69999,3752
1,10000,3,1.43846,69999,3752
1,10000,4,1.47235,69999,3752
1,10000,5,3.25162,69999,3752
1,10000,6,1.85789,69999,3752
1,10000,7,1.47564,69999,3752
1,10000,8,1.60808,69999,3752
1,10000,9,1.63262,69999,3752
1,10000,10,1.42856,69999,3752
1,100000,1,15.8793,699999,4784
1,100000,2,15.5121,699999,4392
1,100000,3,16.3196,699999,4392
1,100000,4,15.8289,699999,4392
1,100000,5,18.8904,699999,4392
1,100000,6,15.6387,699999,4392
1,100000,7,15.53,699999,4392
1,100000,8,16.0006,699999,4392
1,100000,9,15.9187,699999,4392
1,100000,10,17.5472,699999,4392
1,1000000,1,181.067,6999999,8872
1,1000000,2,177.281,6999999,7908
1,1000000,3,172.814,6999999,7908
1,1000000,4,179.655,6999999,7908
1,1000000,5,174.833,6999999,7908
1,1000000,6,174.248,6999999,7908
1,1000000,7,166.935,6999999,7908
1,1000000,8,172.16,6999999,7908
1,1000000,9,192.562,6999999,7908
1,1000000,10,179.326,6999999,7908
2,1000,1,0.196189,6999,3752
2,1000,2,0.185419,6999,3752
2,1000,3,0.219484,6999,3752
2,1000,4,0.184216,6999,3752
2,1000,5,0.20401,6999,3752
2,1000,6,0.203529,6999,3752
2,1000,7,0.245466,6999,3752
2,1000,8,0.226895,6999,3752
2,1000,9,0.225451,6999,3752
2,1000,10,0.249458,6999,3752
2,10000,1,3.91168,69999,3752
2,10000,2,3.65546,69999,3752
2,10000,3,3.46414,69999,3752
2,10000,4,3.46692,69999,3752
2,10000,5,3.42216,69999,3752
2,10000,6,3.48473,69999,3752
2,10000,7,3.63842,69999,3752
2,10000,8,3.53005,69999,3752
2,10000,9,3.58318,69999,3752
2,10000,10,3.60512,69999,3752
2,100000,1,235.144,699999,4392
2,100000,2,220.206,699999,4392
2,100000,3,216.279,699999,4392
2,100000,4,218.872,699999,4392
2,100000,5,230.589,699999,4392
2,100000,6,224.61,699999,4392
2,100000,7,219.083,699999,4392
2,100000,8,259.879,699999,4392
2,100000,9,239.398,699999,4392
2,100000,10,230.795,699999,4392
2,1000000,1,22660.8,6999999,8036
2,1000000,2,22796.2,6999999,8036
2,1000000,3,22549.7,6999999,8036
2,1000000,4,23611.5,6999999,8036
2,1000000,5,22342.6,6999999,8036
2,1000000,6,22414.2,6999999,8036
2,1000000,7,22464.5,6999999,8036
2,1000000,8,23726.2,6999999,8036
2,1000000,9,22785.4,6999999,8036
2,1000000,10,23429.5,6999999,8036
3,1000,1,0.537862,6999,3752
3,1000,2,0.530771,6999,3752
3,1000,3,0.530581,6999,3752
3,1000,4,0.533824,6999,3752
3,1000,5,0.544039,6999,3752
3,1000,6,0.615812,6999,3752
3,1000,7,0.580598,6999,3752
3,1000,8,0.533925,6999,3752
3,1000,9,0.5326,6999,3752
3,1000,10,0.588663,6999,3752
3,10000,1,37.787,69999,3752
3,10000,2,34.7872,69999,3752
3,10000,3,39.8213,69999,3752
3,10000,4,34.4817,69999,3752
3,10000,5,35.2411,69999,3752
3,10000,6,36.428,69999,3752
3,10000,7,35.9825,69999,3752
3,10000,8,33.7648,69999,3752
3,10000,9,34.6477,69999,3752
3,10000,10,32.0274,69999,3752
3,100000,1,3378.24,699999,4392
3,100000,2,3404.8,699999,4392
3,100000,3,3346.12,699999,4392
3,100000,4,3303.77,699999,4392
3,100000,5,3328.08,699999,4392
3,100000,6,3407.84,699999,4392
3,100000,7,3399.6,699999,4392
3,100000,8,3296.23,699999,4392
3,100000,9,3344.94,699999,4392
3,100000,10,3314.21,699999,4392
3,1000000,1,340626.0,6999999,8036
3,1000000,2,342606.0,6999999,8036
3,1000000,3,334889.0,6999999,8036
3,1000000,4,335701.0,6999999,8036
3,1000000,5,333593.0,6999999,8036
3,1000000,6,322643.0,6999999,8036
3,1000000,7,325736.0,6999999,8036
3,1000000,8,326012.0,6999999,8036
3,1000000,9,327382.0,6999999,8036
3,1000000,10,326491.0,6999999,8036
4,1000,1,0.406457,6999,3752
4,1000,2,0.399523,6999,3752
4,1000,3,0.407747,6999,3752
4,1000,4,0.396842,6999,3752
4,1000,5,0.389715,6999,3752
4,1000,6,0.388812,6999,3752
4,1000,7,0.402639,6999,3752
4,1000,8,0.390375,6999,3752
4,1000,9,0.390751,6999,3752
4,1000,10,0.387867,6999,3752
4,10000,1,24.9046,69999,3752
4,10000,2,38.1628,69999,3752
4,10000,3,42.793,69999,3752
4,10000,4,26.5059,69999,3752
4,10000,5,24.5098,69999,3752
4,10000,6,24.5895,69999,3752
4,10000,7,24.838,69999,3752
4,10000,8,24.71,69999,3752
4,10000,9,24.6051,69999,3752
4,10000,10,24.9559,69999,3752
4,100000,1,2486.1,699999,4392
4,100000,2,2525.57,699999,4392
4,100000,3,2471.74,699999,4392
4,100000,4,2434.98,699999,4392
4,100000,5,2521.06,699999,4392
4,100000,6,2396.52,699999,4392
4,100000,7,2399.14,699999,4392
4,100000,8,2378.31,699999,4392
4,100000,9,2424.87,699999,4392
4,100000,10,2501.33,699999,4392
4,1000000,1,250954.0,6999999,8036
4,1000000,2,247902.0,6999999,8036
4,1000000,3,251934.0,6999999,8036
4,1000000,4,258200.0,6999999,8036
4,1000000,5,257100.0,6999999,8036
4,1000000,6,255151.0,6999999,8036
4,1000000,7,253249.0,6999999,8036
4,1000000,8,246402.0,6999999,8036
4,1000000,9,247656.0,6999999,8036
4,1000000,10,249007.0,6999999,8036
5,1000,1,0.137221,6999,3752
5,1000,2,0.133699,6999,3752
5,1000,3,0.132725,6999,3752
5,1000,4,0.132814,6999,3752
5,1000,5,0.135706,6999,3752
5,1000,6,0.132066,6999,3752
5,1000,7,0.134319,6999,3752
5,1000,8,0.134004,6999,3752
5,1000,9,0.133325,6999,3752
5,1000,10,0.134417,6999,3752
5,10000,1,2.09551,69999,3752
