type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.048703,21950,3580
1,1000,2,0.047502,21950,3580
1,1000,3,0.04742,21950,3580
1,1000,4,0.047111,21950,3580
1,1000,5,0.04742,21950,3580
1,1000,6,0.047348,21950,3580
1,1000,7,0.047111,21950,3580
1,1000,8,0.047166,21950,3580
1,1000,9,0.047184,21950,3580
1,1000,10,0.04703,21950,3580
1,10000,1,0.557531,287230,3580
1,10000,2,0.567966,287230,3580
1,10000,3,0.608806,287230,3580
1,10000,4,0.609524,287230,3580
1,10000,5,0.576528,287230,3580
1,10000,6,0.569457,287230,3580
1,10000,7,0.564212,287230,3580
1,10000,8,0.60677,287230,3580
1,10000,9,0.60897,287230,3580
1,10000,10,0.654363,287230,3580
1,100000,1,7.1441,3537854,4412
1,100000,2,7.38983,3537854,4544
1,100000,3,7.00977,3537854,4544
1,100000,4,7.24218,3537854,4544
1,100000,5,7.07204,3537854,4544
1,100000,6,7.25798,3537854,4544
1,100000,7,7.2482,3537854,4544
1,100000,8,7.54082,3537854,4544
1,100000,9,7.3202,3537854,4544
1,100000,10,7.10405,3537854,4544
1,1000000,1,82.1399,41902846,7928
1,1000000,2,80.4898,41902846,11604
1,1000000,3,80.8565,41902846,11604
1,1000000,4,81.9798,41902846,11604
1,1000000,5,81.3759,41902846,11604
1,1000000,6,79.3949,41902846,11604
1,1000000,7,83.2949,41902846,11604
1,1000000,8,81.1272,41902846,11604
1,1000000,9,83.0505,41902846,11604
1,1000000,10,81.615,41902846,11604
2,1000,1,0.061455,21950,4020
2,1000,2,0.070535,21950,4020
2,1000,3,0.048166,21950,4020
2,1000,4,0.047839,21950,4020
2,1000,5,0.065482,21950,4020
2,1000,6,0.07189,21950,4020
2,1000,7,0.067536,21950,4020
2,1000,8,0.058929,21950,4020
2,1000,9,0.068109,21950,4020
2,1000,10,0.067927,21950,4020
2,10000,1,0.604279,287230,4020
2,10000,2,0.572938,287230,4020
2,10000,3,0.560395,287230,4020
2,10000,4,0.560113,287230,4020
2,10000,5,0.558921,287230,4020
2,10000,6,0.60297,287230,4020
2,10000,7,0.679768,287230,4020
2,10000,8,0.576101,287230,4020
2,10000,9,0.563512,287230,4020
2,10000,10,0.589735,287230,4020
2,100000,1,7.3702,3537854,4544
2,100000,2,6.77216,3537854,4544
2,100000,3,7.14977,3537854,4544
2,100000,4,6.81868,3537854,4544
2,100000,5,7.00443,3537854,4544
2,100000,6,6.79669,3537854,4544
2,100000,7,7.00963,3537854,4544
2,100000,8,6.9336,3537854,4544
2,100000,9,7.01683,3537854,4544
2,100000,10,6.91805,3537854,4544
2,1000000,1,84.4495,41902846,11604
2,1000000,2,90.9987,41902846,11604
2,1000000,3,84.948,41902846,11604
2,1000000,4,79.1773,41902846,11604
2,1000000,5,81.5694,41902846,11604
2,1000000,6,80.4724,41902846,11604
2,1000000,7,81.4527,41902846,11604
2,1000000,8,78.6613,41902846,11604
2,1000000,9,79.7008,41902846,11604
2,1000000,10,83.3295,41902846,11604
3,1000,1,0.081843,21950,4020
3,1000,2,0.095951,21950,4020
3,1000,3,0.11762,21950,4020
3,1000,4,0.08966,21950,4020
3,1000,5,0.096214,21950,4020
3,1000,6,0.082779,21950,4020
3,1000,7,0.083043,21950,4020
3,1000,8,0.086851,21950,4020
3,1000,9,0.092587,21950,4020
3,1000,10,0.073363,21950,4020
3,10000,1,0.960202,287230,4020
3,10000,2,0.936142,287230,4020
3,10000,3,0.935615,287230,4020
3,10000,4,0.933433,287230,4020
3,10000,5,0.949241,287230,4020
3,10000,6,0.954921,287230,4020
3,10000,7,0.987044,287230,4020
3,10000,8,0.934806,287230,4020
3,10000,9,1.22598,287230,4020
3,10000,10,1.09933,287230,4020
3,100000,1,12.0374,3537854,4544
3,100000,2,11.5829,3537854,4544
3,100000,3,12.2055,3537854,4544
3,100000,4,12.0459,3537854,4544
3,100000,5,12.1684,3537854,4544
3,100000,6,12.4224,3537854,4544
3,100000,7,12.1309,3537854,4544
3,100000,8,12.0689,3537854,4544
3,100000,9,11.5759,3537854,4544
3,100000,10,11.5889,3537854,4544
3,1000000,1,142.91,41902846,11604
3,1000000,2,135.181,41902846,11604
3,1000000,3,134.264,41902846,11604
3,1000000,4,145.547,41902846,11604
3,1000000,5,134.74,41902846,11604
3,1000000,6,134.871,41902846,11604
3,1000000,7,136.251,41902846,11604
3,1000000,8,134.536,41902846,11604
3,1000000,9,134.14,41902846,11604
3,1000000,10,133.031,41902846,11604
4,1000,1,0.06501,21950,4020
4,1000,2,0.065864,21950,4020
4,1000,3,0.05012,21950,4020
4,1000,4,0.048475,21950,4020
4,1000,5,0.048248,21950,4020
4,1000,6,0.048021,21950,4020
4,1000,7,0.048466,21950,4020
4,1000,8,0.048339,21950,4020
4,1000,9,0.048148,21950,4020
4,1000,10,0.04852,21950,4020
4,10000,1,0.766011,287230,4020
4,10000,2,0.80711,287230,4020
4,10000,3,0.770956,287230,4020
