type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,1.24201,1502496,3784
1,1000,2,1.13177,1502496,3936
1,1000,3,1.45232,1502496,3936
1,1000,4,1.16628,1502496,3936
1,1000,5,1.15099,1502496,3936
1,1000,6,1.1462,1502496,3936
1,1000,7,1.15313,1502496,3936
1,1000,8,1.14657,1502496,3936
1,1000,9,1.13365,1502496,3936
1,1000,10,1.13696,1502496,3936
1,10000,1,118.261,150024996,4260
1,10000,2,117.949,150024996,4260
1,10000,3,136.787,150024996,4260
1,10000,4,123.158,150024996,4260
1,10000,5,134.913,150024996,4260
1,10000,6,137.381,150024996,4260
1,10000,7,133.781,150024996,4260
1,10000,8,119.008,150024996,4260
1,10000,9,116.782,150024996,4260
1,10000,10,141.309,150024996,4260
1,100000,1,13184.7,15000249996,9012
1,100000,2,16215.1,15000249996,8964
1,100000,3,13238.7,15000249996,8964
1,100000,4,13843.2,15000249996,8964
1,100000,5,16707.1,15000249996,8964
1,100000,6,13434.1,15000249996,8964
1,100000,7,16113.9,15000249996,8964
1,100000,8,13384.2,15000249996,8964
1,100000,9,16131.5,15000249996,8964
1,100000,10,13618.8,15000249996,8964
1,1000000,1,1437510.0,1500002499996,55096
1,1000000,2,1433740.0,1500002499996,54608
1,1000000,3,1426770.0,1500002499996,54608
1,1000000,4,1426280.0,1500002499996,54608
1,1000000,5,1422250.0,1500002499996,54608
1,1000000,6,1419040.0,1500002499996,54608
1,1000000,7,1422100.0,1500002499996,54608
1,1000000,8,1425270.0,1500002499996,54608
1,1000000,9,1419200.0,1500002499996,54608
1,1000000,10,1417030.0,1500002499996,54608
2,1000,1,0.861251,752496,3784
2,1000,2,0.820144,752496,3784
2,1000,3,2.02879,752496,3784
2,1000,4,0.805429,752496,3784
2,1000,5,0.820423,752496,3784
2,1000,6,0.798937,752496,3784
2,1000,7,0.857149,752496,3784
2,1000,8,0.860386,752496,3784
2,1000,9,0.844941,752496,3784
2,1000,10,0.794004,752496,3784
2,10000,1,85.5802,75024996,4260
2,10000,2,87.4914,75024996,4260
2,10000,3,80.5659,75024996,4260
2,10000,4,80.7014,75024996,4260
2,10000,5,99.222,75024996,4260
2,10000,6,89.3407,75024996,4260
2,10000,7,109.983,75024996,4260
2,10000,8,85.1624,75024996,4260
2,10000,9,85.5466,75024996,4260
2,10000,10,81.2933,75024996,4260
2,100000,1,12488.7,7500249996,8964
2,100000,2,8877.37,7500249996,8964
2,100000,3,9119.65,7500249996,8964
2,100000,4,8860.7,7500249996,8964
2,100000,5,12759.0,7500249996,8964
2,100000,6,9096.83,7500249996,8964
2,100000,7,8916.99,7500249996,8964
2,100000,8,12762.0,7500249996,8964
2,100000,9,8997.09,7500249996,8964
2,100000,10,8949.9,7500249996,8964
2,1000000,1,1000060.0,750002499996,54608
2,1000000,2,1000200.0,750002499996,54608
2,1000000,3,1001820.0,750002499996,54608
2,1000000,4,1006970.0,750002499996,54608
2,1000000,5,1002270.0,750002499996,54608
2,1000000,6,1004410.0,750002499996,54608
2,1000000,7,1007680.0,750002499996,54608
2,1000000,8,1009440.0,750002499996,54608
2,1000000,9,1004520.0,750002499996,54608
2,1000000,10,1007400.0,750002499996,54608
3,1000,1,0.040385,18933,3936
3,1000,2,0.039058,19968,3936
3,1000,3,0.038413,19357,3936
3,1000,4,0.038522,20016,3936
3,1000,5,0.039004,21429,3936
3,1000,6,0.03814,19047,3936
3,1000,7,0.039813,22820,3936
3,1000,8,0.039286,22853,3936
3,1000,9,0.044776,24861,3936
3,1000,10,0.039004,20508,3936
3,10000,1,0.544497,298732,3936
3,10000,2,0.513719,269209,3936
3,10000,3,0.527226,278415,3936
3,10000,4,0.500302,262082,3936
3,10000,5,0.56443,283623,3936
3,10000,6,0.646364,264711,3936
3,10000,7,0.594327,250506,3936
3,10000,8,0.636175,280087,3936
3,10000,9,0.591544,250525,3936
3,10000,10,0.61056,269823,3936
3,100000,1,7.65563,3493738,4196
3,100000,2,7.85802,3546288,4196
3,100000,3,6.50166,3174243,4196
3,100000,4,6.75394,3371731,4196
3,100000,5,6.87346,3381485,4196
3,100000,6,6.43934,3167358,4196
3,100000,7,6.29064,3122675,4196
3,100000,8,6.79489,3924977,4196
3,100000,9,6.60019,3324143,4196
3,100000,10,6.72318,3777652,4196
3,1000000,1,78.8761,39602700,7824
3,1000000,2,77.7235,39189047,7824
3,1000000,3,79.7784,42200163,7824
3,1000000,4,79.0233,41826852,7824
3,1000000,5,78.9101,41475659,7824
3,1000000,6,80.1025,39520222,7824
3,1000000,7,85.2913,42191759,7824
3,1000000,8,81.1633,44080343,7824
3,1000000,9,77.1547,38221973,7824
3,1000000,10,79.753,39370835,7824
4,1000,1,0.038549,25762,3936
4,1000,2,0.025742,25762,3936
4,1000,3,0.023833,25762,3936
4,1000,4,0.023488,25762,3936
4,1000,5,0.023424,25762,3936
4,1000,6,0.023378,25762,3936
4,1000,7,0.023478,25762,3936
4,1000,8,0.023851,25762,3936
4,1000,9,0.023478,25762,3936
4,1000,10,0.023414,25762,3936
4,10000,1,0.472525,251473,3936
4,10000,2,0.479606,251473,3936
4,10000,3,0.482951,251473,3936
4,10000,4,0.464298,251473,3936
4,10000,5,0.475852,251473,3936
4,10000,6,0.46429,251473,3936
4,10000,7,0.495722,251473,3936
4,10000,8,0.47736,251473,3936
4,10000,9,0.463653,251473,3936
4,10000,10,0.478561,251473,3936
4,100000,1,6.27015,4136230,4196
4,100000,2,6.31349,4136230,4196
4,100000,3,6.23681,4136230,4196
4,100000,4,6.38441,4136230,4196
4,100000,5,6.28304,4136230,4196
4,100000,6,6.23289,4136230,4196
4,100000,7,6.14833,4136230,4196
4,100000,8,6.20263,4136230,4196
