type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.004379,1,3532
1,1000,2,0.004388,1,3768
1,1000,3,0.003847,1,3832
1,1000,4,0.003116,1,3832
1,1000,5,0.004068,1,3832
1,1000,6,0.002955,1,3832
1,1000,7,0.003296,1,3832
1,1000,8,0.003387,1,3832
1,1000,9,0.003416,1,3832
1,1000,10,0.002845,1,3832
1,10000,1,0.024636,1,3832
1,10000,2,0.024205,1,3832
1,10000,3,0.024165,1,3832
1,10000,4,0.023834,1,3832
1,10000,5,0.024736,1,3832
1,10000,6,0.024806,1,3832
1,10000,7,0.024786,1,3832
1,10000,8,0.062085,1,3832
1,10000,9,0.024756,1,3832
1,10000,10,0.024806,1,3832
1,100000,1,0.23664,1,4092
1,100000,2,0.23658,1,4092
1,100000,3,0.3015,1,4092
1,100000,4,0.236399,1,4092
1,100000,5,0.251467,1,4092
1,100000,6,0.260965,1,4092
1,100000,7,0.260935,1,4092
1,100000,8,0.279099,1,4092
1,100000,9,0.289849,1,4092
1,100000,10,0.268198,1,4092
1,1000000,1,2.4844,1,7720
1,1000000,2,2.48813,1,7720
1,1000000,3,2.60127,1,7720
1,1000000,4,3.06191,1,7720
1,1000000,5,2.7431,1,7720
1,1000000,6,2.39803,1,7720
1,1000000,7,2.43863,1,7720
1,1000000,8,3.01015,1,7720
1,1000000,9,2.44488,1,7720
1,1000000,10,2.60182,1,7720
2,1000,1,0.006643,1501,3832
2,1000,2,0.00534,1501,3832
2,1000,3,0.006452,1501,3832
2,1000,4,0.006683,1501,3832
2,1000,5,0.00528,1501,3832
2,1000,6,0.006402,1501,3832
2,1000,7,0.006112,1501,3832
2,1000,8,0.006191,1501,3832
2,1000,9,0.006392,1501,3832
2,1000,10,0.006122,1501,3832
2,10000,1,0.074288,15001,3832
2,10000,2,0.042178,15001,3832
2,10000,3,0.042349,15001,3832
2,10000,4,0.047138,15001,3832
2,10000,5,0.049642,15001,3832
2,10000,6,0.048089,15001,3832
2,10000,7,0.050914,15001,3832
2,10000,8,0.050745,15001,3832
2,10000,9,0.051165,15001,3832
2,10000,10,0.050574,15001,3832
2,100000,1,0.4092,150001,4092
2,100000,2,0.424108,150001,4092
2,100000,3,0.417024,150001,4092
2,100000,4,0.408539,150001,4092
2,100000,5,0.408609,150001,4092
2,100000,6,0.491864,150001,4092
2,100000,7,0.408939,150001,4092
2,100000,8,0.434767,150001,4092
2,100000,9,0.415191,150001,4092
2,100000,10,0.408589,150001,4092
2,1000000,1,4.31254,1500001,7720
2,1000000,2,4.15119,1500001,7720
2,1000000,3,4.6833,1500001,7720
2,1000000,4,4.19959,1500001,7720
2,1000000,5,4.45981,1500001,7720
2,1000000,6,4.29967,1500001,7720
2,1000000,7,4.16448,1500001,7720
2,1000000,8,4.13196,1500001,7720
2,1000000,9,4.27379,1500001,7720
2,1000000,10,4.38044,1500001,7720
3,1000,1,0.131254,25873,3832
3,1000,2,0.127787,25383,3836
3,1000,3,0.146171,25212,3836
3,1000,4,0.129741,25597,3836
3,1000,5,0.140582,25440,3836
3,1000,6,0.271083,25421,3836
3,1000,7,0.127137,24999,3836
3,1000,8,0.130212,25798,3836
3,1000,9,0.128289,25437,3836
3,1000,10,0.127908,25444,3836
3,10000,1,1.58803,278458,3836
3,10000,2,1.54949,276940,3836
3,10000,3,1.52624,279263,3836
3,10000,4,1.51008,278177,3836
3,10000,5,1.51646,278340,3836
3,10000,6,1.52029,278657,3836
3,10000,7,1.54494,278462,3836
3,10000,8,1.50042,278535,3836
3,10000,9,1.57193,278858,3836
3,10000,10,1.50402,278147,3836
3,100000,1,18.9953,3611049,4624
3,100000,2,20.2173,3609496,4624
3,100000,3,19.3776,3605851,4624
3,100000,4,19.5526,3606588,4624
3,100000,5,19.2913,3607610,4624
3,100000,6,19.2895,3608900,4624
3,100000,7,19.957,3607374,4624
3,100000,8,19.9272,3608328,4624
3,100000,9,19.633,3606873,4624
3,100000,10,19.9085,3610850,4624
3,1000000,1,258.316,45306440,11684
3,1000000,2,258.268,45323689,11684
3,1000000,3,258.895,45321572,11684
3,1000000,4,256.608,45346127,11684
3,1000000,5,259.436,45332026,11684
3,1000000,6,261.067,45325269,11684
3,1000000,7,256.7,45309130,11684
3,1000000,8,253.502,45325160,11684
3,1000000,9,252.654,45323682,11684
3,1000000,10,251.539,45330587,11684
4,1000,1,0.074297,13718,3836
4,1000,2,0.077803,13718,3836
4,1000,3,0.051996,13718,3836
4,1000,4,0.047797,13718,3836
4,1000,5,0.045714,13718,3836
4,1000,6,0.044872,13718,3836
4,1000,7,0.057666,13718,3836
4,1000,8,0.050593,13718,3836
4,1000,9,0.050322,13718,3836
4,1000,10,0.04938,13718,3836
4,10000,1,0.89309,149820,3836
4,10000,2,0.867413,149820,3840
4,10000,3,0.964871,149820,3840
4,10000,4,1.43368,149820,3840
4,10000,5,1.03353,149820,3840
4,10000,6,1.39071,149820,3840
4,10000,7,1.06542,149820,3840
4,10000,8,0.883262,149820,3840
4,10000,9,1.03433,149820,3840
4,10000,10,0.846424,149820,3840
4,100000,1,12.5374,1903051,4628
4,100000,2,11.3261,1903051,4632
4,100000,3,10.7094,1903051,4632
4,100000,4,10.5324,1903051,4632
4,100000,5,11.1464,1903051,4632
4,100000,6,10.5897,1903051,4632
4,100000,7,11.8167,1903051,4632
4,100000,8,12.1315,1903051,4632
4,100000,9,11.0011,1903051,4632
4,100000,10,11.4045,1903051,4632
4,1000000,1,139.612,23655472,11692
4,1000000,2,132.763,23655472,11692
4,1000000,3,132.336,23655472,11692
4,1000000,4,137.603,23655472,11692
4,1000000,5,132.576,23655472,11692
4,1000000,6,138.402,23655472,11692
4,1000000,7,134.679,23655472,11692
4,1000000,8,145.07,23655472,11692
4,1000000,9,134.816,23655472,11692
4,1000000,10,132.135,23655472,11692
5,1000,1,0.015959,2037,3844
5,1000,2,0.015759,2037,3844
5,1000,3,0.012723,2037,3844
5,1000,4,0.015779,2037,3844
5,1000,5,0.017742,2037,3844
5,1000,6,0.015809,2037,3844
5,1000,7,0.015348,2037,3844
5,1000,8,0.032881,2037,3844
5,1000,9,0.015729,2037,3844
5,1000,10,0.012583,2037,3844
5,10000,1,0.128887,21485,3844
5,10000,2,0.113558,21485,3844
5,10000,3,0.198294,21485,3844
5,10000,4,0.146428,21485,3844
5,10000,5,0.138995,21485,3844
5,10000,6,0.430831,21485,3844
5,10000,7,0.119419,21485,3844
5,10000,8,0.150877,21485,3844
5,10000,9,0.140147,21485,3844
5,10000,10,0.119669,21485,3844
5,100000,1,1.15841,223450,4368
5,100000,2,2.32714,223450,4368
5,100000,3,1.2877,223450,4368
5,100000,4,1.10426,223450,4368
5,100000,5,1.11285,223450,4368
5,100000,6,1.12419,223450,4368
5,100000,7,1.1755,223450,4368
5,100000,8,1.19836,223450,4368
5,100000,9,1.24264,223450,4368
5,100000,10,1.12568,223450,4368
5,1000000,1,14.0092,2327529,11624
5,1000000,2,15.0784,2327529,11624
5,1000000,3,11.6178,2327529,11624
5,1000000,4,12.4401,2327529,11624
5,1000000,5,12.7083,2327529,11624
5,1000000,6,10.797,2327529,11624
5,1000000,7,14.2899,2327529,11624
5,1000000,8,11.4693,2327529,11624
5,1000000,9,15.8208,2327529,11624
5,1000000,10,11.1798,2327529,11624
6,1000,1,0.081714,25463,3844
6,1000,2,0.076878,25463,3844
6,1000,3,0.088567,25463,3844
6,1000,4,0.077557,25463,3844
6,1000,5,0.100915,25463,3844
6,1000,6,0.087987,25463,3844
6,1000,7,0.089806,25463,3844
6,1000,8,0.088567,25463,3844
6,1000,9,0.089856,25463,3844
6,1000,10,0.090205,25463,3844
6,10000,1,0.898578,278425,3844
6,10000,2,0.892673,278425,3844
6,10000,3,1.09538,278425,3844
6,10000,4,1.17745,278425,3844
6,10000,5,1.04525,278425,3844
6,10000,6,0.996127,278425,3844
6,10000,7,0.923545,278425,3844
6,10000,8,0.990392,278425,3844
6,10000,9,1.02393,278425,3844
6,10000,10,0.936113,278425,3844
6,100000,1,11.704,3609859,4632
6,100000,2,11.456,3609859,4632
6,100000,3,14.8278,3609859,4632
6,100000,4,11.2802,3609859,4632
6,100000,5,11.1742,3609859,4632
6,100000,6,13.0956,3609859,4632
6,100000,7,11.2641,3609859,4632
6,100000,8,11.426,3609859,4632
6,100000,9,10.8039,3609859,4632
6,100000,10,11.0933,3609859,4632
6,1000000,1,145.356,45329704,11692
6,1000000,2,145.85,45329704,11692
6,1000000,3,146.745,45329704,11692
6,1000000,4,146.42,45329704,11692
6,1000000,5,152.821,45329704,11692
6,1000000,6,147.315,45329704,11692
6,1000000,7,151.674,45329704,11692
6,1000000,8,151.681,45329704,11692
6,1000000,9,168.105,45329704,11692
6,1000000,10,148.267,45329704,11692
