type,size,trial,time_ms,copy_count,memory_kb
1,1000,1,0.072881,15047,3388
1,1000,2,0.055071,15047,3792
1,1000,3,0.040443,15047,3792
1,1000,4,0.041296,15047,3792
1,1000,5,0.043836,15047,3792
1,1000,6,0.034931,15047,3792
1,1000,7,0.033254,15047,3792
1,1000,8,0.035113,15047,3792
1,1000,9,0.033349,15047,3792
1,1000,10,0.030675,15047,3792
1,10000,1,0.817934,202767,4052
1,10000,2,0.846836,202767,4052
1,10000,3,0.797785,202767,4052
1,10000,4,0.894305,202767,4052
1,10000,5,0.93237,202767,4052
1,10000,6,0.900114,202767,4052
1,10000,7,0.919702,202767,4052
1,10000,8,0.904476,202767,4052
1,10000,9,0.833579,202767,4052
1,10000,10,0.896845,202767,4052
1,100000,1,9.94493,2262143,4184
1,100000,2,8.65916,2262143,6164
1,100000,3,9.51489,2262143,6164
1,100000,4,8.73193,2262143,6164
1,100000,5,8.70303,2262143,6164
1,100000,6,8.94789,2262143,6164
1,100000,7,8.7538,2262143,6164
1,100000,8,8.58297,2262143,6164
1,100000,9,8.37888,2262143,6164
1,100000,10,8.48682,2262143,6164
1,1000000,1,101.695,25097151,7700
1,1000000,2,96.5066,25097151,23836
1,1000000,3,94.4798,25097151,23836
1,1000000,4,93.4189,25097151,23836
1,1000000,5,96.267,25097151,23836
1,1000000,6,94.6491,25097151,23836
1,1000000,7,96.1654,25097151,23836
1,1000000,8,96.5616,25097151,23836
1,1000000,9,97.0668,25097151,23836
1,1000000,10,96.2147,25097151,23836
2,1000,1,0.058848,15047,3792
2,1000,2,0.056337,15047,3792
2,1000,3,0.035909,15047,3792
2,1000,4,0.037059,15047,3792
2,1000,5,0.031701,15047,3792
2,1000,6,0.03146,15047,3792
2,1000,7,0.031288,15047,3792
2,1000,8,0.036407,15047,3792
2,1000,9,0.030742,15047,3792
2,1000,10,0.030751,15047,3792
2,10000,1,0.741256,202767,4052
2,10000,2,0.698197,202767,4052
2,10000,3,0.648456,202767,4052
2,10000,4,0.672948,202767,4052
2,10000,5,0.682236,202767,4052
2,10000,6,0.652338,202767,4052
